Cluster Index	Z	x	y	z	
5	7.51	12	-68	44
5	7.16	-10	-68	44
5	7.08	4	-54	50
5	6.65	-2	-54	54
5	6.38	-4	-58	62
5	5.52	10	-70	58
4	6.2	0	34	18
4	4.89	-24	54	18
4	4.83	-4	44	10
4	4.61	10	66	-12
4	4.59	8	50	-6
4	4.56	-2	12	30
3	4.87	42	-80	24
3	4.85	56	-54	34
3	4.81	52	-52	34
3	4	54	-56	26
3	4	36	-80	34
3	3.98	54	-60	28
2	4.05	48	22	38
2	4.02	30	32	46
2	3.81	42	26	38
2	3.8	36	34	44
2	3.7	36	12	54
2	3.66	22	48	32
1	4.57	58	-26	34
1	3.6	52	-28	36
1	3.59	56	-32	30
1	3.4	48	-22	28
1	3.33	58	-18	28
1	3.29	64	-26	28
