Cluster Index	Z	x	y	z	
6	6.61	-52	-18	0
6	6.57	-56	-16	-2
6	6.33	-46	-30	4
6	6.19	-46	-24	2
6	6.16	-52	-32	6
6	5.91	-68	-36	-2
5	6.28	56	-16	-6
5	6.21	64	-20	-4
5	6.2	60	14	-16
5	6.12	56	-26	-4
5	6.04	58	0	-10
5	5.95	62	4	-8
4	4.29	22	-78	-52
4	3.96	-16	-76	-52
4	3.7	20	-84	-44
4	3.53	-22	-66	-54
4	3.47	26	-72	-54
4	3.4	20	-72	-54
3	4.81	8	4	58
3	3.95	6	-2	60
3	3.4	-6	0	58
3	3.21	2	-12	66
3	3.19	10	8	44
3	3.09	8	8	48
2	4.34	54	-42	50
2	4.06	60	-32	46
2	3.52	50	-46	40
2	3.47	62	-48	44
2	3.3	56	-48	54
2	3.26	54	-50	42
1	3.85	36	-6	-50
1	3.84	26	-12	-30
1	3.72	38	-10	-46
1	3.31	40	-4	-46
1	3.28	36	-24	-30
1	3.12	40	-12	-40
