Cluster Index	Z	x	y	z	
5	5.51	8	-56	24
5	5.45	-4	-80	46
5	5.41	-12	-74	42
5	5.38	-10	-66	34
5	5.29	4	-56	60
5	5.25	-16	-68	26
4	4.85	2	36	16
4	4.61	2	64	6
4	4.49	28	58	14
4	4.13	-28	64	0
4	4.12	-4	62	-2
4	4.11	-30	68	4
3	4.86	30	28	36
3	4.8	34	28	36
3	4.6	30	28	40
3	4.03	24	34	42
3	3.91	20	12	54
3	3.86	20	14	60
2	3.91	-26	46	38
2	3.84	-28	42	44
2	3.81	-28	40	32
2	3.66	-32	32	32
2	3.64	-32	42	36
2	3.53	-24	52	34
1	3.64	36	-38	-14
1	3.4	30	-40	-20
1	3.4	34	-42	-6
1	3.39	28	-44	-22
1	3.36	36	-52	-18
1	3.32	26	-48	-12
